url	imgUrl	date	hed	sports
https://www.nytimes.com/interactive/2021/07/19/upshot/major-league-baseball-spin-rate-shift.html	spin-rates	7/19/2021	The Pitchers Whose Spin Rates Fell Most After a Crackdown on Sticky Substances	
https://www.nytimes.com/interactive/2021/06/29/upshot/portland-seattle-vancouver-weather.html	pnw	6/29/2021	How Weird Is the Heat in Portland, Seattle and Vancouver?	
https://www.nytimes.com/interactive/2021/upshot/trump-biden-geography-quiz.html	pano-quiz	3/28/2021	Do You Think You Can Tell How a Neighborhood Voted Just by Looking Around?	news
https://www.nytimes.com/interactive/2021/03/17/upshot/partisan-segregation-maps.html	enos-dots	3/7/2021	A Close-Up Picture of Partisan Segregation, Among 180 Million Voters	
https://www.nytimes.com/interactive/2021/01/19/upshot/trump-complete-insult-list.html	trump-insults	1/19/2021	The Complete List of Trump’s Twitter Insults (2015-2021)	
https://www.nytimes.com/interactive/2020/12/26/upshot/nfl-playoff-picture-trees.html	playoff-trees	12/26/2020	N.F.L. Playoff Trees	1
https://www.nytimes.com/interactive/2020/11/03/us/elections/forecast-president.html	needles	11/3/2020	All the various NYT Election Needles	
https://www.nytimes.com/interactive/2020/upshot/nfl-playoff-picture.html	nfl-simulator	8/10/2020	N.F.L. Playoff Simulator	1
https://www.nytimes.com/interactive/2020/05/15/upshot/who-left-new-york-coronavirus.html	leaving-nyc	5/15/2020	The Richest Neighborhoods Emptied Out Most as Coronavirus Hit New York City	
https://www.nytimes.com/interactive/2020/03/16/upshot/coronavirus-best-worst-death-toll-scenario.html	covid-comparison	3/16/2020	Could Coronavirus Cause as Many Deaths as Cancer in the U.S.? Putting Estimates in Context	
https://www.nytimes.com/interactive/2020/02/28/sports/womens-olympic-marathon-trials.html	marathon-trials	2/28/2020	Why Are American Women Running Faster Than Ever? We Asked Them — Hundreds of Them	1
https://www.nytimes.com/interactive/2019/12/23/upshot/recognizability-quiz.html	who-is-this	12/23/2019	Quiz: Can You Identify These Politicians, Athletes and Celebrities? Most Americans Can’t.	
https://www.nytimes.com/interactive/2019/12/13/upshot/nike-vaporfly-next-percent-shoe-estimates.html	fancy-shoes-2	12/13/2019	Nike’s Fastest Shoes May Give Runners an Even Bigger Advantage Than We Thought	1
https://www.nytimes.com/interactive/2019/10/02/upshot/these-526-voters-represent-america.html	a1r	10/2/2019	These 526 Voters Represent All of America. And They Spent a Weekend Together.	
https://www.nytimes.com/interactive/2019/08/01/upshot/are-you-rich.html	rich-quiz	8/1/2019	Are You Rich? This Income-Rank Quiz Might Change How You See Yourself	
https://www.nytimes.com/interactive/2019/04/08/upshot/democratic-electorate-twitter-real-life.html	hidden-tribes	4/8/2019	The Democratic Electorate on Twitter Is Not the Actual Democratic Electorate	
https://www.nytimes.com/interactive/2018/upshot/election-2016-voting-precinct-maps.html	precinct-2016	7/25/2018	Precinct Election Maps	
https://www.nytimes.com/interactive/2018/07/18/upshot/nike-vaporfly-shoe-strava.html	fancy-shoes	7/8/2018	Nike Says Its $250 Running Shoes Will Make You Run Much Faster. What if That’s Actually True?	1
https://www.nytimes.com/interactive/2018/03/19/upshot/race-class-white-and-black-men.html	fox-ladder	3/19/2018	Extensive Data Shows Punishing Reach of Racism for Black Boys	
https://www.nytimes.com/interactive/2017/09/27/upshot/trump-statements-soon.html	trump-soon	9/27/2017	‘Soon,’ ‘Very Soon,’ ‘Eventually’: A Detailed List of Things Trump Said Would Happen	
https://www.nytimes.com/interactive/2017/06/12/upshot/the-politics-of-americas-religious-leaders.html	hersh-religion	6/12/2017	Your Rabbi? Probably a Democrat. Your Baptist Pastor? Probably a Republican. Your Priest? Who Knows.	
https://www.nytimes.com/interactive/2017/05/14/upshot/if-americans-can-find-north-korea-on-a-map-theyre-more-likely-to-prefer-diplomacy.html	north-korea	5/14/2017	If Americans Can Find North Korea on a Map, They’re More Likely to Prefer Diplomacy	
