url	imgUrl	order	shortHed
http://www.nytimes.com/4thdowns	fourth	1	4th Down Bot
http://www.nytimes.com/newsgraphics/2013/11/30/football-conferences/	sankey	1	History of NCAA Conferences
http://www.nytimes.com/newsgraphics/2013/09/28/eli-manning-milestone/	eli	1	QB streaks since 1970
http://www.nytimes.com/2013/08/26/sports/at-louisville-an-athletic-boom-made-for-and-by-tv.html?pagewanted=all	louisville	1	Weekday football
http://www.nytimes.com/2013/09/08/education/harvard-case-study-gender-equity.html?ref=education	hbs	1	Gender and Tenure at HBS
http://www.nytimes.com/interactive/2013/07/16/sports/cycling/the-double-ascent-of-alpe-dhuez.html?ref=cycling	huez	1	Double Ascent
http://www.nytimes.com/interactive/2011/05/31/business/economy/case-shiller-index.html	shiller2	1	Case-Shiller Update
http://www.nytimes.com/newsgraphics/2013/06/07/bicycle-routes/index.html?smid=tw-nytimes	ny-biking	1	Bike Wisdom Map
http://www.nytimes.com/interactive/2013/05/13/sports/baseball/money-on-the-bench.html?smid=tw-nytimes	money-bench	1	Money on the Bench
http://www.nytimes.com/interactive/2013/05/08/sports/soccer/alex-ferguson-scatterplot.html?_r=0	ferguson	1	Alex Ferguson Compared
http://www.nytimes.com/interactive/2013/04/25/sports/football/picking-the-best-in-the-nfl-draft.html?ref=sports&_r=0	nfl-draft	1	Chance and the Draft
http://www.nytimes.com/interactive/2013/03/29/sports/baseball/Strikeouts-Are-Still-Soaring.html?ref=baseball	strikeouts	2	Strikeouts on the Rise
http://www.nytimes.com/interactive/2013/02/21/movies/awardsseason/oscar-favorites-readers-vs-intrade.html?_r=0	oscars-intrade	3	Oscars and Intrade
http://www.nytimes.com/interactive/2012/08/05/sports/olympics/the-100-meter-dash-one-race-every-medalist-ever.html	mens-100m-dash	4	Men’s 100-Meter Sprint
http://www.nytimes.com/interactive/2012/12/24/sports/basketball/pick-your-all-time-new-york-city-nba-team.html	all-nyc-nba	5	All-Time NYC NBA
http://www.nytimes.com/interactive/2013/01/29/us/where-50000-guns-in-chicago-came-from.html	chicago-guns	6	50,000 Chicago Guns
http://www.nytimes.com/interactive/2013/02/20/us/hispanics-californias-next-majority.html	calif-hispanics	7	California’s Next Majority
http://www.nytimes.com/interactive/2013/03/01/world/americas/border-graphic.html	border-map	8	Border Enforcement
http://www.nytimes.com/interactive/2012/10/05/business/economy/one-report-diverging-perspectives.html	diverging-report	9	Diverging Perspectives
http://www.nytimes.com/interactive/2013/02/03/sports/football/in-this-years-nfl-a-new-breed-of-quarterback.html	running-qbs	10	Running QBs
http://www.nytimes.com/interactive/2013/01/15/us/a-migration-of-unmarried-men.html	nd-men	50	A Migration of Unmarried Men
http://www.nytimes.com/interactive/2013/02/13/education/State-Financed-Preschool-Access-In-the-US.html	pre-k	12	Preschool Access in the U.S.
http://www.nytimes.com/interactive/2012/11/27/us/recovering-but-at-different-paces.html?ref=us	unemp-rates-calif	13	California Recovering
http://www.nytimes.com/interactive/2013/02/09/us/Wawa-or-Sheetz-A-Matter-of-Convenience.html	wawa-sheetz	14	Wawa or Sheetz?
http://www.nytimes.com/interactive/2012/08/01/sports/olympics/racing-against-history.html	swim-history	15	Men's 100m freestyle
http://www.nytimes.com/interactive/2012/08/04/sports/olympics/bob-beamons-long-olympic-shadow.html	long-jump	16	Men's  Long Jump
http://www.nytimes.com/interactive/2012/09/14/us/how-the-chicago-public-school-district-compares.html	chicago-teachers	17	How Chicago Compares
